[UE3] [2025-07-19 11:36:00] [  5]  81.00-82.00  sec  9.55 MBytes  80.1 Mbits/sec  0.086 ms  2749/9665 (28%)
[UE3] [2025-07-19 11:36:01] [  5]  82.00-83.00  sec  10.1 MBytes  85.0 Mbits/sec  0.087 ms  3354/10690 (31%)
[UE3] [2025-07-19 11:36:02] [  5]  83.00-84.00  sec  10.3 MBytes  86.8 Mbits/sec  0.098 ms  2979/10473 (28%)
[UE3] [2025-07-19 11:36:03] [  5]  84.00-85.00  sec  7.49 MBytes  62.8 Mbits/sec  0.111 ms  2330/7754 (30%)
[UE3] [2025-07-19 11:36:04] [  5]  85.00-86.00  sec  4.66 MBytes  39.1 Mbits/sec  0.075 ms  1304/4679 (28%)
[UE3] [2025-07-19 11:36:05] [  5]  86.00-87.00  sec  8.94 MBytes  75.0 Mbits/sec  0.119 ms  9895/16369 (60%)
[UE3] [2025-07-19 11:36:06] [  5]  87.00-88.00  sec  9.52 MBytes  79.9 Mbits/sec  0.124 ms  5176/12071 (43%)
[UE3] [2025-07-19 11:36:07] [  5]  88.00-89.00  sec  9.52 MBytes  79.9 Mbits/sec  0.114 ms  3638/10534 (35%)
[UE3] [2025-07-19 11:36:08] [  5]  89.00-90.00  sec  9.75 MBytes  81.8 Mbits/sec  0.094 ms  3465/10528 (33%)
[UE3] [2025-07-19 11:36:09] [  5]  90.00-91.00  sec  9.50 MBytes  79.7 Mbits/sec  0.123 ms  3278/10160 (32%)
[UE3] [2025-07-19 11:36:10] [  5]  91.00-92.00  sec  9.56 MBytes  80.2 Mbits/sec  0.093 ms  3256/10179 (32%)
[UE3] [2025-07-19 11:36:11] [  5]  92.00-93.00  sec  9.52 MBytes  79.9 Mbits/sec  0.091 ms  3574/10469 (34%)
[UE3] [2025-07-19 11:36:12] [  5]  93.00-94.00  sec  10.1 MBytes  85.0 Mbits/sec  0.078 ms  3676/11017 (33%)
[UE3] [2025-07-19 11:36:13] [  5]  94.00-95.00  sec  9.72 MBytes  81.5 Mbits/sec  0.112 ms  3012/10051 (30%)
[UE3] [2025-07-19 11:36:14] [  5]  95.00-96.00  sec  10.1 MBytes  85.1 Mbits/sec  0.092 ms  3254/10602 (31%)
[UE3] [2025-07-19 11:36:15] [  5]  96.00-97.00  sec  8.91 MBytes  74.7 Mbits/sec  0.091 ms  2920/9373 (31%)
[UE3] [2025-07-19 11:36:16] [  5]  97.00-98.00  sec  10.1 MBytes  85.1 Mbits/sec  0.081 ms  3791/11138 (34%)
[UE3] [2025-07-19 11:36:17] [  5]  98.00-99.00  sec  10.4 MBytes  86.9 Mbits/sec  0.075 ms  3271/10775 (30%)
[UE3] [2025-07-19 11:36:19] [  5]  99.00-100.00 sec  9.53 MBytes  79.9 Mbits/sec  0.111 ms  2997/9897 (30%)
[UE3] [2025-07-19 11:36:21] [  5]   0.00-1.00   sec  3.72 MBytes  31.2 Mbits/sec  0.193 ms  0/2697 (0%)
